NDB_No,food_id,description,calories,protien,carbohydrates,fiber_td,sugar,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitamin_c,thiamin,riboflavin,niacin,vitamin_b12,vitamin_a,vitamin_e,vitamin_k,saturated_fat,mono_unsaturated_fat,poly_unsaturated_fat,cholesterol,unit
Arugula,11,"ARUGULA,RAW",25,2.58,3.65,1.6,2.05,160,1.46,47,52,369,27,0.47,0.076,0.321,0.3,15,0.044,0.086,0.305,0,2373,0.43,108.6,0.086,0.049,0.319,0,1 leaf
Asparagus,12,"ASPARAGUS,RAW",20,2.2,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0,756,1.13,41.6,0.04,0,0.05,0,1 cup
Basil,13,"BASIL,FRESH",23,3.15,2.65,1.6,0.3,177,3.17,64,56,295,4,0.81,0.385,1.148,0.3,18,0.034,0.076,0.902,0,5275,0.8,414.8,0.041,0.088,0.389,0,"2 tbsp, chopped"
Blackberries,14,"BLACKBERRIES,RAW",43,1.39,9.61,5.3,4.88,29,0.62,20,22,162,1,0.53,0.165,0.646,0.4,21,0.02,0.026,0.646,0,214,1.17,19.8,0.014,0.047,0.28,0,1 cup
Blueberries,8,"BLUEBERRIES,RAW",57,0.74,14.49,2.4,9.96,6,0.28,6,12,77,1,0.16,0.057,0.336,0.1,9.7,0.037,0.041,0.418,0,54,0.57,19.3,0.028,0.047,0.146,0,1 cup
Broccoli,4,"BROCCOLI,RAW",34,2.82,6.64,2.6,1.7,47,0.73,21,66,316,33,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0,623,0.78,101.6,0.039,0.011,0.038,0,"1 cup, chopped"
Cabbage,15,"CABBAGE,RAW",25,1.28,5.8,2.5,3.2,40,0.47,12,26,170,18,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0,98,0.15,76,0.034,0.017,0.017,0,"1 cup, chopped"
Cantaloupe,2,"MELONS,CANTALOUPE,RAW",34,0.84,8.16,0.9,7.86,9,0.21,12,15,267,16,0.18,0.041,0.041,0.4,36.7,0.041,0.019,0.734,0,3382,0.05,2.5,0.051,0.003,0.081,0,"1 cup, balls"
Carrots,16,"CARROTS,RAW",41,0.93,9.58,2.8,4.74,33,0.3,12,35,320,69,0.24,0.045,0.143,0.1,5.9,0.066,0.058,0.983,0,16706,0.66,13.2,0.037,0.014,0.117,0,"1 cup, chopped"
Caulifower,5,"CAULIFLOWER,RAW",25,1.92,4.97,2,1.91,22,0.42,15,44,299,30,0.27,0.039,0.155,0.6,48.2,0.05,0.06,0.507,0,0,0.08,15.5,0.064,0.017,0.015,0,"1 cup, chopped (1/2"" pieces)"
Chard,17,"CHARD,SWISS,RAW",19,1.8,3.74,1.6,1.1,51,1.8,81,46,379,213,0.36,0.179,0.366,0.9,30,0.04,0.09,0.4,0,6116,1.89,830,0.03,0.04,0.07,0,1 cup
Corn,18,"CORN,SWT,YEL,RAW",86,3.27,18.7,2,6.26,2,0.52,37,89,270,15,0.46,0.054,0.163,0.6,6.8,0.155,0.055,1.77,0,187,0.07,0.3,0.325,0.432,0.487,0,1 cup
Eggplant,3,"EGGPLANT,RAW",24,1.01,5.7,3.4,2.35,9,0.24,14,25,230,2,0.16,0.082,0.25,0.3,2.2,0.039,0.037,0.649,0,27,0.3,3.5,0.034,0.016,0.076,0,"1 cup, cubes"
Fava Beans,19,"BEANS,FAVA,IN POD,RAW",88,7.92,17.63,,,37,1.55,33,129,332,25,1,0.402,0.661,0.8,3.7,0.133,0.29,2.249,0,333,,,0.118,0.104,0.342,0,1 cup
Green Beans,20,"BEANS,SNAP,GREEN,RAW",31,1.83,6.97,2.7,3.26,37,1.03,25,38,211,6,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0,690,0.41,14.4,0.05,0.01,0.113,0,"1 cup, 1/2"" pieces"
Kale,9,"KALE,RAW",50,3.3,10.01,2,,135,1.7,34,56,447,43,0.44,0.29,0.774,0.9,120,0.11,0.13,1,0,15376,,817,0.091,0.052,0.338,0,"1 cup, chopped"
Lettuce,12,"LETTUCE,GRN LEAF,RAW",15,1.36,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0,7405,0.22,126.3,0.02,0.006,0.082,0,"1 cup, shredded"
Mint,22,"PEPPERMINT,FRESH",70,3.75,14.89,8,,243,5.08,80,73,569,31,1.11,0.329,1.176,,31.8,0.082,0.266,1.706,0,4248,,,0.246,0.033,0.508,0,2 tbsp
Parsley,23,"PARSLEY,RAW",36,2.97,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133,0.086,0.098,1.313,0,8424,0.75,1640,0.132,0.295,0.124,0,"1 cup, chopped"
Parsnips,24,"PARSNIPS,RAW",75,1.2,17.99,4.9,4.8,36,0.59,29,71,375,10,0.59,0.12,0.56,1.8,17,0.09,0.05,0.7,0,0,1.49,22.5,0.05,0.112,0.047,0,"1 cup, slices"
Peaches,25,"PEACHES,RAW",39,0.91,9.54,1.5,8.39,6,0.25,9,20,190,0,0.17,0.068,0.061,0.1,6.6,0.024,0.031,0.806,0,326,0.73,2.6,0.019,0.067,0.086,0,"1 cup, slices"
Peanuts,26,"PEANUTS,ALL TYPES,RAW",567,25.8,16.13,8.5,3.97,92,4.58,168,376,705,18,3.27,1.144,1.934,7.2,0,0.64,0.135,12.066,0,0,8.33,0,6.834,24.429,15.559,0,1 cup
Plums,27,"PLUMS,RAW",46,0.7,11.42,1.4,9.92,6,0.17,7,16,157,0,0.1,0.057,0.052,0,9.5,0.028,0.026,0.417,0,345,0.26,6.4,0.017,0.134,0.044,0,"1 cup, sliced"
Potatoes,28,"POTATOES,RUSSET,FLESH & SKN,RAW",79,2.14,18.07,1.3,0.62,13,0.86,23,55,417,5,0.29,0.103,0.157,0.4,5.7,0.082,0.033,1.035,0,1,0.01,1.8,0.026,0.002,0.043,0,"1 potato, large (3"" to 4-1/4"" dia)"
Radishes,29,"RADISHES,RAW",16,0.68,3.4,1.6,1.86,25,0.34,10,20,233,39,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0,7,0,1.3,0.032,0.017,0.048,0,"1 cup, slices"
Rhubarb,30,"RHUBARB,RAW",21,0.9,4.54,1.8,1.1,86,0.22,12,14,288,4,0.1,0.021,0.196,1.1,8,0.02,0.03,0.3,0,102,0.27,29.3,0.053,0.039,0.099,0,"1 cup, diced"
Sage,10,"SAGE,GROUND",315,10.63,60.73,40.3,1.71,1652,28.12,428,91,1070,11,4.7,0.757,3.133,3.7,32.4,0.754,0.336,5.72,0,5900,7.48,1714.5,7.03,1.87,1.76,0,1 tbsp
Spinach,31,"SPINACH,RAW",23,2.86,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0,9377,2.03,482.9,0.063,0.01,0.165,0,1 cup
Squash,32,"SQUASH,ZUCCHINI,BABY,RAW",21,2.71,3.11,1.1,,21,0.79,33,93,459,3,0.83,0.097,0.196,0.3,34.1,0.042,0.036,0.705,0,490,,,0.083,0.031,0.169,0,1 large
Strawberries,6,"STRAWBERRIES,RAW",32,0.67,7.68,2,4.89,16,0.41,13,24,153,1,0.14,0.048,0.386,0.4,58.8,0.024,0.022,0.386,0,12,0.29,2.2,0.015,0.043,0.155,0,"1 cup,  halves"
